barId,name,street,city,state,zipcode,capacity,attire,Accepts credit card,isGoodForGroups,hasWiFi,allowsSmoking,typicalCrowd
0,Evil Roy Slades,7926 Nicolls Avenue ,Austin,TX,78730,335,Formal,1,0,0,0,Middle Age
1,Western Ny Communications,874 Hilltop Dr. ,Villanova,PA,19085,125,Smart Casual,1,0,1,0,Young
2,Brick House,8695 Old Edgewater Court ,Trenton,NJ,08608,145,Smart Casual,0,0,0,0,Middle Age
3,Oak Room,774 Helen St. ,Austin,TX,78730,145,Smart Casual,0,0,0,0,Young
4,Player's Night Club,9 Clay Dr. ,Boston,MA,01841,195,Smart Casual,0,1,0,0,Young
5,Hanging Tree Saloon,9027 Edgewood Street ,Indianapolis,IN,46290,115,Smart Casual,0,0,0,0,Middle Age
6,The Underdark Tavern,66 Rockville Street ,Washington,DC,20001,165,Formal,1,0,0,1,Old
7,Eight To The Bar,20 West Cedar Street ,Brooklyn,NY,11249,195,Casual,1,0,0,0,Middle Age
8,Sin Sin Leopard Lounge,743 Dunbar Lane ,Frankfort,KY,40601,190,Formal,1,1,0,0,Young
9,Cowboy Bill,91 Spruce Street ,Las Vegas,NV,89134,130,Formal,1,0,1,0,Young
10,Planet Pocono,54 Rock Maple Drive ,Nashville,TN,37201,175,Smart Casual,1,0,0,0,Young
11,Meridan Night Club,7670 North Pheasant Street ,Norwalk,CA,90650,195,Casual,1,1,0,0,Young
12,Nutmeg Leathercare,486 Saxton Drive ,Weston,MA,02493,130,Formal,1,0,1,0,Young
13,Nob Hill Bar & Grill,9340 North Squaw Creek Lane ,Villanova,PA,19085,145,Casual,0,0,0,0,Young
14,Spot Bar,50 Helen Street ,Great Falls,VA,22066,190,Formal,1,0,0,0,Young
15,Holy Grail,768 Mayfair Drive ,Weston,MA,02493,130,Casual,0,0,0,0,Middle Age
16,Military St Music Cafe,681 Glen Eagles Ave. ,Austin,TX,78730,105,Formal,1,0,0,0,Young
17,Dallas Eagle,488 Riverview St. ,Oklahoma City,OK,73102,155,Formal,1,0,0,0,Middle Age
18,Friepete Inc,8382 Fifth Ave. ,Miami,FL,33158,130,Smart Casual,0,0,0,0,Middle Age
19,Chop Stix,869 Olive Dr. ,Fontana,CA,92335,135,Casual,1,0,0,0,Middle Age
20,Saloon No 10,413 Columbia St. ,Dover,MA,02030,125,Casual,1,0,0,0,Middle Age
21,Maxwell's Beach Cafe,7911 N. Amerige St. ,Richmond,VA,23218,290,Formal,0,0,0,0,Middle Age
22,Two Bar West,76 Newbridge Ave. ,Salt Lake City,UT,84101,365,Casual,1,0,0,0,Middle Age
23,Grata Bar & Lounge,25 North Cherry St. ,San Jose,CA,95120,140,Casual,0,1,0,0,Young
24,Paradise Tiki Hut,94 Deerfield Drive ,Houston,TX,77084,105,Smart Casual,1,0,0,0,Middle Age
25,Top Rail Ballroom,59 Airport Ave. ,Las Vegas,NV,89134,115,Casual,1,0,0,0,Middle Age
26,Star Hotel,123 New Ave. ,Dallas,TX,75001,140,Casual,1,0,1,0,Young
27,Tailgaters Bar Grill,9784 8th Dr. ,Trenton,NJ,08608,135,Casual,1,0,0,0,Middle Age
28,NorthEnd Tavern,8080 Heritage Street ,Villanova,PA,19085,190,Formal,1,0,0,0,Middle Age
29,Golden Burro Cafe & Lounge,450 West San Pablo Avenue ,Weston,MA,02493,195,Casual,1,1,0,1,Young
30,W. H. Frank Wine & Liquor Merchants; LTD,47 Smoky Hollow St. ,Iowa City,IA,52240,110,Formal,1,0,0,0,Middle Age
31,Fraternal Order Of Eagles,726 Lincoln Drive ,Austin,TX,78730,120,Smart Casual,1,0,1,0,Young
32,Circus Bar,60 Honey Creek Drive ,Dover,DE,19901,170,Casual,1,0,0,0,Middle Age
33,Riskys Sports Bar & Grill,516 Fordham Street ,Dover,DE,19901,190,Formal,0,0,0,0,Middle Age
34,Pounders Bar & Grill,8404 Green Ave. ,Austin,TX,78730,145,Formal,0,0,0,0,Middle Age
35,Claddagh Irish Pub Lyndhurst,30 E. Briarwood St. ,Springfield,PA,19064,110,Formal,1,1,0,0,Young
36,Shenanigans Bar & Grill,324 Elmwood Ave. ,Miami Beach,FL,33109,125,Casual,1,0,0,1,Old
37,Pine Tavern Inc,774 Mill Pond Court ,Fontana,CA,92335,190,Smart Casual,0,0,1,0,Young
38,El Corazon,618 West Greenview Ave. ,Great Falls,VA,22066,390,Casual,0,0,1,0,Young
39,Denyce's Deli & Wine Shop,58 Creek St. ,Springfield,PA,19064,115,Smart Casual,0,0,0,0,Middle Age
40,Cactus Moon Saloon,8983 Lyme Street ,Katy,TX,77449,170,Casual,0,0,0,1,Old
41,Keenan's Irish Pub,473 Madison Rd. ,Oklahoma City,OK,73101,120,Formal,1,1,0,0,Young
42,Tomas Leszczynski,643 New St. ,Atlanta,GA,30334,180,Formal,1,0,0,0,Middle Age
43,Flanagan's Pub,7600 3rd St. ,Annapolis,MD,21401,145,Smart Casual,1,1,0,0,Young
44,Brass Monkey,7465 Taylor Ave. ,Highland,MD,20777,180,Smart Casual,1,0,1,0,Young
45,Orpheum Theatre,51 West St Margarets Court ,Austin,TX,78730,175,Casual,1,0,0,0,Young
46,Silver Dollar,547 Gregory Drive ,Nashville,TN,37201,130,Casual,0,0,0,0,Middle Age
47,Lake House,578 NE. Westport Ave. ,Boston,MA,01841,160,Casual,1,0,0,0,Middle Age
48,Redroom,89 Somerset Drive ,Los Angeles,CA,90011,155,Formal,1,0,1,0,Young
49,Station 4,934 Cedar Swamp Street ,Oklahoma City,OK,73101,180,Casual,1,0,1,0,Young
50,Esquire Lounge,89 South Windfall St. ,Memphis,TN,38157,175,Formal,0,1,0,0,Young
51,Boulevard,737 Oakwood St. ,Princeton Junction,NJ,08550,105,Formal,0,0,0,0,Young
52,O'Sullivan's Sports Bar,638 W. Oak Meadow Lane ,Boston,MA,01841,170,Casual,1,0,0,0,Middle Age
53,Braddocks Tavern Of Medford,8667 Canal Avenue ,Oklahoma City,OK,73101,150,Smart Casual,1,0,0,0,Young
54,Mini Max Marble,295 E. Woodland St. ,Fontana,CA,92335,130,Casual,0,0,1,0,Young
55,Computech Software Services,7867 Park Court ,Richmond,VA,23218,385,Formal,0,0,0,0,Young
56,Molly's Pub & Shabeen,750 Lafayette Rd. ,Dover,DE,19901,175,Smart Casual,1,1,1,0,Young
57,NU Towne Saloon,904 Vine Lane ,Memphis,TN,38157,125,Casual,1,0,1,0,Young
58,Jack's Pub & Volley Ball Club,7100 Bridle Road ,Highland,MD,20777,175,Smart Casual,1,1,0,0,Young
59,Blue Note Jazz Club,70 Silver Spear Lane ,Weston,MA,02493,160,Smart Casual,1,1,0,0,Young
60,Brown Room At Congress Hall,821 Pulaski Street ,El Paso,TX,79936,105,Casual,1,0,0,0,Young
61,Altamont Wine & Liquor,7 Old York Avenue ,Atlanta,GA,30334,185,Formal,0,0,1,0,Young
62,Indigo Joe's Sports Pub & Bar,7524 Ridge Ave. ,Boston,MA,01841,115,Casual,1,1,0,0,Young
63,Comedy City,8404 Ocean Ave. ,Trenton,NJ,08608,130,Casual,1,0,1,0,Young
64,Euclid Tavern,286 Pumpkin Hill Drive ,Great Falls,VA,22066,385,Smart Casual,1,0,0,1,Old
65,Fifth Avenue Billiards,798 High Street ,New York,NY,10029,140,Casual,1,0,1,0,Young
66,Oxer Bar;,64 West Bow Ridge Circle ,Salt Lake City,UT,84101,360,Casual,1,0,0,0,Middle Age
67,Tallahassee Comedy Zone,7858 Birchwood Dr. ,Chesapeake,VA,23320,275,Casual,1,0,0,0,Middle Age
68,G's Lounge,971 Tarkiln Hill Avenue ,Illinois,IL,62701,160,Smart Casual,1,1,0,0,Young
69,Women Wine And Weapons,9928 Green Hill Drive ,Norwalk,CA,90650,170,Smart Casual,1,0,0,0,Young
70,Le Chic,993 East Bishop Ave. ,Nashville,TN,37201,105,Smart Casual,1,0,0,0,Young
71,Tradesman Tavern Inc,877 Brown St. ,Sun City,AZ,85351,145,Casual,1,0,0,0,Middle Age
72,Pit Stop,55 Galvin Rd. ,Great Falls,VA,22066,205,Casual,1,0,1,0,Young
73,Pinnacle,12 St Margarets Lane ,Salt Lake City,UT,84101,190,Casual,1,0,0,0,Middle Age
74,Reo's,8019 Wild Rose Circle ,Santa Fe,NM,87501,200,Casual,1,0,0,1,Old
75,Kon Tiki Restaurant & Lounge,202 Carpenter Drive ,Oklahoma City,OK,73101,130,Smart Casual,0,1,0,0,Young
76,Famous Philly's Beef & Beer,159 Willow Road ,Cross River,NY,10518,165,Casual,0,0,0,0,Middle Age
77,Herbert's Billiards,19 W. 8th Lane ,Brooklyn,NY,11249,195,Formal,1,0,0,1,Old
78,North Tavern,91 Middle River Street ,Illinois,IL,62701,155,Formal,1,0,1,0,Young
79,Quality Bar,9 Lantern Lane ,Annapolis,MD,21401,140,Casual,0,0,0,0,Middle Age
80,Harpos,513 Hilltop Avenue ,Las Vegas,NV,89134,130,Smart Casual,1,0,1,0,Young
81,Dead Men's Den,564 Big Rock Cove Dr. ,Santa Fe,NM,87501,120,Formal,1,0,1,0,Young
82,B B's Jazz Blues & Soup Inc,47 Thatcher Ave. ,Dover,MA,02030,175,Casual,1,0,0,0,Middle Age
83,Big Nose Kate's Saloon,8360 Studebaker St. ,Durham,NC,27706,195,Smart Casual,1,0,1,0,Young
84,Mexico Lindo,200 Van Dyke St. ,Houston,TX,77084,170,Smart Casual,1,0,0,0,Young
85,BAR,32 Gainsway Dr. ,New York,NY,10029,185,Smart Casual,1,0,1,0,Young
86,John Murray,39 North Cambridge St. ,Oklahoma City,OK,73101,175,Smart Casual,1,0,0,0,Young
87,Cave,794 Wintergreen Street ,Dover,DE,19901,155,Smart Casual,1,0,0,0,Young
88,Nd Tavern;,72 Brown Ave. ,Frankfort,KY,40601,115,Smart Casual,1,0,0,0,Young
89,Town Wine Spirits,46 El Dorado Lane ,Dover,MA,02030,165,Casual,0,0,0,0,Young
90,Claddagh Pub,71 Prince Drive ,Weston,MA,02493,160,Formal,1,1,0,0,Young
91,Jim's Place,653 Aspen Road ,Santa Fe,NM,87501,110,Smart Casual,1,0,0,0,Young
92,Thirsty Scholar,9114 Willow Lane ,Fontana,CA,92335,150,Casual,1,0,0,0,Young
93,Bada Lounge,28 Windsor St. ,Santa Fe,NM,87501,200,Casual,1,1,0,0,Young
94,Blue Martini Inc,198 Pumpkin Hill Ave. ,Memphis,TN,38157,155,Smart Casual,1,0,0,0,Young
95,Kyle Johnson,7909 Country Club Lane ,Salt Lake City,UT,84101,230,Smart Casual,0,0,0,0,Young
96,12th Man /Tennessee LLC,7379 Eagle Lane ,Indianapolis,IN,46290,105,Casual,1,0,0,0,Middle Age
97,Sharileesjewelry,358 W. Ann St. ,Fontana,CA,92335,120,Casual,1,0,0,0,Middle Age
98,Butler's Bar & Grill,9977 Holly Street ,Sun City,AZ,85351,185,Formal,1,0,0,0,Middle Age
99,Bear's Den,91 Peachtree St. ,Great Falls,VA,22066,370,Smart Casual,1,0,1,0,Young
100,LA Rumba,25 Vermont Dr. ,Salt Lake City,UT,84101,200,Formal,1,0,0,0,Young
101,Gyms Sports Bar,7561 Briarwood Drive ,Princeton Junction,NJ,08550,175,Casual,1,0,1,0,Young
102,Stagecoach,2 Thatcher Street ,Austin,TX,78730,180,Smart Casual,0,0,0,0,Young
103,Circle Inn,8000 Fairway St. ,Washington,DC,20001,145,Smart Casual,1,0,0,0,Young
104,Downtown Brown's,3 Bohemia Ave. ,Annapolis,MD,21401,190,Formal,1,0,1,0,Young
105,Trackstirs Sports Bar & Grill,17 River Drive ,Indianapolis,IN,46290,120,Smart Casual,1,0,1,0,Young
106,International Design Guild,42 Cedarwood Ave. ,Los Angeles,CA,90011,170,Smart Casual,1,0,0,1,Old
107,Spot Lounge,87 Meadow Street ,New Brunswick,NJ,08901,155,Casual,1,1,1,0,Young
108,Four Shadows,556 Lincoln Drive ,Houston,TX,77084,190,Formal,1,0,0,0,Young
109,Jake's Place,761 State Street ,New Brunswick,NJ,08901,120,Casual,1,0,0,0,Young
110,Room 710,45 Ivy Ave. ,Durham,NC,27706,110,Formal,0,0,1,0,Young
111,Envie,9860 Manhattan St. ,San Jose,CA,95120,125,Casual,1,0,1,0,Young
112,Preservation Public,37 10th Dr. ,Indianapolis,IN,46290,160,Casual,0,1,0,0,Young
113,Tycoons,885 Whitemarsh Lane ,Oklahoma City,OK,73102,195,Smart Casual,1,0,0,0,Young
114,B B Kings Blues Club,52 Indian Summer St. ,Richmond,VA,23218,190,Smart Casual,1,1,0,0,Young
115,Auntie Mae's Parlor,767 Park St. ,Weston,MA,02493,135,Casual,1,0,0,1,Old
116,Ice LAS Vegas,287 Fremont Ave. ,Trenton,NJ,08608,105,Smart Casual,1,0,1,0,Young
117,Washington Street Pub Ltd,278 Peninsula Ave. ,Annapolis,MD,21401,125,Formal,0,1,1,0,Young
118,Ernie Biggs Dueling Piano Bar,23 James Dr. ,Miami Beach,FL,33109,200,Formal,1,0,0,0,Young
119,Juliann Kroboth,737 Monroe St. ,Richmond,VA,23218,155,Casual,0,0,1,0,Young
120,Ballyhoo Tavern,8132 Carpenter Street ,Charlotte,NC,28105,200,Smart Casual,0,0,0,0,Young
121,Little Miami Trading Company,53 Honey Creek Dr. ,Washington,DC,20001,140,Smart Casual,1,0,0,0,Young
122,Ranch House,510 South Woodland Road ,Santa Fe,NM,87501,175,Smart Casual,1,0,0,0,Young
123,Cman,541 Cross Street ,Cross River,NY,10518,150,Formal,1,0,0,0,Middle Age
124,1099 Club,8408 Sleepy Hollow Lane ,Atlantic City,NJ,08401,190,Formal,1,1,1,0,Young
125,Cheap Seats Sports Bar,290 Pendergast Court ,Kenilworth,IL,60043,180,Formal,1,0,0,0,Middle Age
126,Papa Rocco's,785 6th Rd. ,Memphis,TN,38157,120,Casual,1,0,0,1,Old
127,Lyzzard's Lounge,79 Tarkiln Hill St. ,Princeton Junction,NJ,08550,155,Smart Casual,1,1,0,0,Young
128,Uncle Mick's,9814 Gainsway Ave. ,Charlotte,NC,28105,120,Casual,1,0,1,0,Young
129,Corner Tap,7907 Wood Street ,Cross River,NY,10518,105,Formal,1,0,0,0,Young
130,Patrick's Pub & Grill,878 E. Clark Rd. ,Los Angeles,CA,90011,140,Formal,1,1,0,0,Young
131,Ovations,398 Sugar Lane ,Weston,MA,02493,180,Smart Casual,0,0,0,0,Young
132,8 Second Saloon,510 West Thomas St. ,Las Vegas,NV,89134,150,Smart Casual,1,0,0,0,Young
133,Diamond Billiards & Pub,115 Harrison Drive ,Springfield,PA,19064,175,Casual,1,1,1,0,Young
134,Edmond Mukamal D.d.s,79 James Drive ,Brooklyn,NY,11249,120,Formal,1,0,0,0,Middle Age
135,Kevins Bar & Grille,7059 Bayport Street ,San Jose,CA,95120,125,Casual,1,0,0,0,Middle Age
136,Lamp Liter Club Inc,29 Miles Road ,Brooklyn,NY,11249,145,Smart Casual,1,1,0,0,Young
137,H-BAR ENTERPRISES,7980 Griffin St. ,Nashville,TN,37201,170,Casual,1,0,0,0,Middle Age
138,Best Beer Holdings;,68 Lexington Rd. ,Miami Beach,FL,33109,180,Smart Casual,1,0,1,0,Young
139,Harbour,2 Prospect St. ,Austin,TX,78730,145,Formal,0,0,1,0,Young
140,Doc's Club,30 Aspen St. ,Trenton,NJ,08608,155,Smart Casual,1,1,1,0,Young
141,Northside Cafe Inc,9724 Westminster Ave. ,Salt Lake City,UT,84101,305,Smart Casual,1,0,1,0,Young
142,Dragonfly Club,84 South Anderson Street ,Brooklyn,NY,11249,135,Smart Casual,1,1,0,0,Young
143,Rudy's Food & Spirits,7949 Rock Creek Dr. ,Darien,CT,06820,145,Smart Casual,1,0,0,0,Young
144,Marketing Strategy Planning,8933 Church St. ,Norwalk,CA,90650,130,Smart Casual,1,0,0,0,Young
145,Zanzibar,9914 East Church Lane ,Boston,MA,01841,195,Casual,1,0,0,0,Middle Age
146,Spikes Bar & Grill,7196 Shadow Brook Street ,Cross River,NY,10518,140,Smart Casual,0,0,1,0,Young
147,Champion Billiards Cafe,179 North Tunnel Ave. ,Norwalk,CA,90650,155,Casual,0,0,0,0,Young
148,Kilroy's Sports Bar,8603 Front Ave. ,Villanova,PA,19085,125,Formal,0,0,1,0,Young
149,Big Chicks,656 Shady Rd. ,Los Angeles,CA,90011,135,Casual,1,0,0,0,Young
150,Murray Hill Theatre,50 S. Bridle Street ,Brooklyn,NY,11249,185,Formal,1,0,0,0,Middle Age
151,PINK FLAMINGO BAR & GRILL,26 Bay St. ,Weston,MA,02493,110,Formal,1,0,0,0,Middle Age
152,Beerland,96 Atlantic Street ,El Paso,TX,79936,175,Casual,0,0,1,0,Young
153,Chappy's Safari Lounge,2 Heritage Street ,Austin,TX,78730,195,Casual,1,1,1,0,Young
154,National Coalition For Church Vocations,16 Logan Circle ,Boston,MA,01841,165,Smart Casual,1,0,0,0,Young
155,Music Palace,4 Gregory Ave. ,San Jose,CA,95120,115,Formal,1,0,0,1,Old
156,Ghoulardi's Bar & Grill,281 South Hall Rd. ,Charlotte,NC,28105,180,Smart Casual,1,0,0,0,Young
157,Hoffman; Jeremy P,7445 Bay Meadows St. ,Dover,DE,19901,160,Formal,1,0,0,0,Young
158,Barefoot,8664 Harrison St. ,Annapolis,MD,21401,105,Casual,1,0,0,1,Old
159,Rockwood Music Hall,472 1st Avenue ,Great Falls,VA,22066,195,Formal,1,0,0,0,Middle Age
160,Atomic Cantina,9465 Court St. ,Annapolis,MD,21401,180,Smart Casual,1,0,0,0,Young
161,Melnitsky; Patricia,6 County Street ,Nashville,TN,37201,140,Casual,1,0,0,0,Middle Age
162,V,61 George St. ,Oklahoma City,OK,73102,145,Formal,1,0,0,0,Young
163,Uncle Albert's Pub,570 Littleton Street ,Atlanta,GA,30334,165,Casual,1,1,1,0,Young
164,Fairmont Bar And Dining,5 West Armstrong Ave. ,Frankfort,KY,40601,170,Smart Casual,1,0,0,0,Young
165,Highland House Cafe,9870 S. Armstrong Avenue ,Atlanta,GA,30334,105,Formal,1,0,0,0,Young
166,Saddle Club,56 Pennington Road ,Weston,MA,02493,180,Formal,1,1,1,0,Young
167,Blind Willie's,99 SW. Stillwater Street ,Chesapeake,VA,23320,380,Formal,1,0,1,0,Young
168,Ringler's Pub,106 Fordham Street ,Nashville,TN,37201,160,Smart Casual,1,1,1,0,Young
169,Las Vegas Lounge,347 Main Lane ,Richmond,VA,23218,330,Smart Casual,0,1,0,0,Young
170,Connection,733 Beaver Ridge Street ,Sun City,AZ,85351,130,Casual,1,0,1,0,Young
171,Riverside Bar & Grill,853 East Linda Ave. ,Dover,DE,19901,180,Formal,1,0,1,0,Young
172,Grand Central Club,97 Cypress St. ,Los Angeles,CA,90011,150,Casual,0,1,1,0,Young
173,Phebe's,315 N. Pacific St. ,Atlantic City,NJ,08401,145,Casual,1,0,1,0,Young
174,Wild Goose Bar & Grill,700 Cherry Hill Ave. ,Indianapolis,IN,46290,155,Formal,0,0,0,1,Old
175,Mc Cabes Irish Bistro,96 Inverness Drive ,Darien,CT,06820,130,Smart Casual,1,0,0,0,Young
176,Hump's Restaurant & Lounge,488 Sugar Street ,Dover,DE,19901,115,Formal,1,1,0,0,Young
177,Rockne's Pub,196 Sugar Road ,Richmond,VA,23218,325,Casual,1,1,0,0,Young
178,GREAT TREATS INC Dba MULLENS DAIRY BAR,9958 Indian Summer Ave. ,Richmond,VA,23218,265,Casual,0,0,0,1,Old
179,Empire Club,35 Thatcher St. ,El Paso,TX,79936,115,Casual,1,1,0,0,Young
180,Jimmy's Saloon,402 Birchwood Dr. ,New York,NY,10029,180,Smart Casual,1,0,0,0,Young
181,Kefi,94 Golf Road ,Springfield,PA,19064,190,Smart Casual,1,0,1,0,Young
182,Bar One-Level,8710 Woodsman Ave. ,San Jose,CA,95120,165,Formal,1,0,1,0,Young
183,Traffic Club,754 Warren Street ,New York,NY,10029,105,Casual,1,1,0,0,Young
184,Staticground,8353 8th Lane ,Salt Lake City,UT,84101,380,Formal,1,0,0,0,Middle Age
185,The Grille,132 Tanglewood Road ,Darien,CT,06820,150,Casual,1,0,1,0,Young
186,Crossroads Bar,Apt 5 ,Salem,OR,97301,115,Casual,1,0,0,0,Young
187,BEECHVIEW BEER DISTRIBUTOR; INC.,8818 Greystone Dr. ,Boston,MA,01841,130,Smart Casual,1,0,1,0,Young
188,Jimmie's Cornerstone Bar,481 Swanson Drive ,Princeton Junction,NJ,08550,155,Smart Casual,1,0,1,0,Young
189,Caron Products,656 8th St. ,New York,NY,10029,145,Smart Casual,1,0,0,0,Young
190,Ho DO Lounge,651 North Sherman Rd. ,Annapolis,MD,21401,155,Formal,1,1,0,0,Young
191,Diva's Inc,59 Tanglewood Drive ,Brownsville,TX,78521,160,Smart Casual,0,0,1,0,Young
192,Pike Place Bar & Grill,193 Rockledge Dr. ,Houston,TX,77084,195,Smart Casual,1,0,0,0,Young
193,Exhale Bar & Grill,39 Clay Lane ,Fontana,CA,92335,145,Smart Casual,1,0,1,0,Young
194,Wild Rose Tavern,9021 Ashley Lane ,Dover,DE,19901,170,Casual,1,0,1,1,Old
195,Flossie's Bar & Grill,432 Pilgrim Street ,Boston,MA,01841,155,Formal,1,0,1,0,Young
196,Kelly's Tavern,27 S. Durham Street ,Chesapeake,VA,23320,370,Smart Casual,1,0,0,0,Young
197,Shenanigan's,614 Dunbar Street ,Fontana,CA,92335,185,Smart Casual,1,0,0,0,Young
198,Christines Pit Stop,9404 Sheffield Lane ,Las Vegas,NV,89134,130,Formal,1,0,0,0,Middle Age
199,Little Woodrows,8264 Mechanic Drive ,Washington,DC,20001,125,Smart Casual,1,0,1,0,Young
